# Time: 2022-04-21T13:39:54-07:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S07246
# Firmware: 787
# Software: 1.8.5.1
# Sensitivity: 1
# Gain: 450
# Scan Range [ps]: 150.0
# Filter ACF: 0
# Average: 16
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 25.368
# Fit Type: None
# Fit Pulse Duration [ps]: 0.000
# FWHM Valid: 0
# ==========
# Delay [ps]	Intensity [arb.u.]
# ==========
-13.169085	0.008695
-13.094047	0.008529
-13.019010	0.008645
-12.943972	0.008972
-12.868934	0.008853
-12.793897	0.008546
-12.718859	0.008947
-12.643822	0.008616
-12.568784	0.008726
-12.493747	0.008396
-12.418709	0.008934
-12.343672	0.008907
-12.268634	0.008847
-12.193597	0.008633
-12.118559	0.008585
-12.043522	0.008681
-11.968484	0.008706
-11.893447	0.008697
-11.818409	0.008733
-11.743372	0.008722
-11.668334	0.008743
-11.593297	0.008596
-11.518259	0.008616
-11.443222	0.008866
-11.368184	0.008529
-11.293147	0.009098
-11.218109	0.009005
-11.143072	0.008523
-11.068034	0.008789
-10.992996	0.008972
-10.917959	0.008799
-10.842921	0.008741
-10.767884	0.008647
-10.692846	0.009105
-10.617809	0.008992
-10.542771	0.008799
-10.467734	0.008716
-10.392696	0.008793
-10.317659	0.008357
-10.242621	0.008535
-10.167584	0.008560
-10.092546	0.008672
-10.017509	0.008764
-9.942471	0.008463
-9.867434	0.008866
-9.792396	0.008901
-9.717359	0.008550
-9.642321	0.008756
-9.567284	0.008542
-9.492246	0.008629
-9.417209	0.008550
-9.342171	0.008724
-9.267134	0.008812
-9.192096	0.008764
-9.117059	0.008864
-9.042021	0.008708
-8.966983	0.008768
-8.891946	0.008793
-8.816908	0.008828
-8.741871	0.008737
-8.666833	0.008631
-8.591796	0.008776
-8.516758	0.008810
-8.441721	0.008469
-8.366683	0.008803
-8.291646	0.008766
-8.216608	0.008631
-8.141571	0.008529
-8.066533	0.008525
-7.991496	0.008839
-7.916458	0.008251
-7.841421	0.009084
-7.766383	0.008687
-7.691346	0.009034
-7.616308	0.008400
-7.541271	0.008701
-7.466233	0.008431
-7.391196	0.008664
-7.316158	0.008710
-7.241121	0.008934
-7.166083	0.008739
-7.091046	0.008600
-7.016008	0.008731
-6.940970	0.008868
-6.865933	0.008404
-6.790895	0.008907
-6.715858	0.008866
-6.640820	0.008641
-6.565783	0.009036
-6.490745	0.008467
-6.415708	0.008961
-6.340670	0.008832
-6.265633	0.008839
-6.190595	0.008997
-6.115558	0.008566
-6.040520	0.008396
-5.965483	0.008413
-5.890445	0.008620
-5.815408	0.008841
-5.740370	0.008537
-5.665333	0.009053
-5.590295	0.009021
-5.515258	0.008668
-5.440220	0.008660
-5.365183	0.008546
-5.290145	0.008807
-5.215108	0.008789
-5.140070	0.008718
-5.065033	0.008481
-4.989995	0.008895
-4.914957	0.008456
-4.839920	0.008701
-4.764882	0.008878
-4.689845	0.008731
-4.614807	0.008685
-4.539770	0.008423
-4.464732	0.008535
-4.389695	0.008797
-4.314657	0.008793
-4.239620	0.008623
-4.164582	0.008498
-4.089545	0.008519
-4.014507	0.008481
-3.939470	0.008679
-3.864432	0.008722
-3.789395	0.008731
-3.714357	0.008583
-3.639320	0.009032
-3.564282	0.008837
-3.489245	0.008907
-3.414207	0.008496
-3.339170	0.008841
-3.264132	0.008600
-3.189095	0.008654
-3.114057	0.008431
-3.039020	0.009065
-2.963982	0.008481
-2.888944	0.008695
-2.813907	0.008456
-2.738869	0.008799
-2.663832	0.008469
-2.588794	0.008839
-2.513757	0.008699
-2.438719	0.008473
-2.363682	0.008627
-2.288644	0.009080
-2.213607	0.008539
-2.138569	0.008554
-2.063532	0.008674
